GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US01581,01581,ZCTA5 01581,106915,7354
8600000US01583,01583,ZCTA5 01583,74020,4232
8600000US01585,01585,ZCTA5 01585,61298,12274
8600000US01588,01588,ZCTA5 01588,60429,10116
8600000US01590,01590,ZCTA5 01590,99692,10118
8600000US01602,01602,ZCTA5 01602,62709,4128
8600000US01603,01603,ZCTA5 01603,40967,4581
8600000US01604,01604,ZCTA5 01604,50426,2425
8600000US01605,01605,ZCTA5 01605,35446,3696
8600000US01606,01606,ZCTA5 01606,65163,5214
8600000US01607,01607,ZCTA5 01607,47068,9291
8600000US01608,01608,ZCTA5 01608,18843,5339
8600000US01609,01609,ZCTA5 01609,42863,3511
8600000US01610,01610,ZCTA5 01610,31182,2654
8600000US01611,01611,ZCTA5 01611,81971,22386
8600000US01612,01612,ZCTA5 01612,94135,11993
8600000US01701,01701,ZCTA5 01701,100788,7381
8600000US01702,01702,ZCTA5 01702,51137,3689
8600000US01718,01718,ZCTA5 01718,131484,62010
8600000US01719,01719,ZCTA5 01719,103556,7549
8600000US01720,01720,ZCTA5 01720,131413,6483
8600000US01721,01721,ZCTA5 01721,103700,8694
8600000US01730,01730,ZCTA5 01730,117688,15147
8600000US01731,01731,ZCTA5 01731,84333,13305
8600000US01740,01740,ZCTA5 01740,151023,10723
8600000US01741,01741,ZCTA5 01741,167400,26684
8600000US01742,01742,ZCTA5 01742,137991,14060
8600000US01745,01745,ZCTA5 01745,120766,11026
8600000US01746,01746,ZCTA5 01746,110295,5398
8600000US01747,01747,ZCTA5 01747,99792,16478
8600000US01748,01748,ZCTA5 01748,143190,8920
8600000US01749,01749,ZCTA5 01749,80574,6345
8600000US01752,01752,ZCTA5 01752,72222,3947
8600000US01754,01754,ZCTA5 01754,90134,12675
8600000US01756,01756,ZCTA5 01756,121298,14656
8600000US01757,01757,ZCTA5 01757,73117,5809
8600000US01760,01760,ZCTA5 01760,104600,4256
8600000US01770,01770,ZCTA5 01770,158250,18949
8600000US01772,01772,ZCTA5 01772,147216,6894
8600000US01773,01773,ZCTA5 01773,143505,14619
8600000US01775,01775,ZCTA5 01775,146799,21475
8600000US01776,01776,ZCTA5 01776,164013,7826
8600000US01778,01778,ZCTA5 01778,157005,13022
8600000US01801,01801,ZCTA5 01801,84479,5361
8600000US01803,01803,ZCTA5 01803,92141,4821
8600000US01810,01810,ZCTA5 01810,134627,6226
8600000US01821,01821,ZCTA5 01821,100158,6556
8600000US01824,01824,ZCTA5 01824,109638,6103
8600000US01826,01826,ZCTA5 01826,86884,8433
8600000US01827,01827,ZCTA5 01827,118984,8458
8600000US01830,01830,ZCTA5 01830,57917,4035
8600000US01832,01832,ZCTA5 01832,63078,4430
8600000US01833,01833,ZCTA5 01833,106016,11766
8600000US01834,01834,ZCTA5 01834,96512,5329
8600000US01835,01835,ZCTA5 01835,71827,5321
8600000US01840,01840,ZCTA5 01840,19855,3596
8600000US01841,01841,ZCTA5 01841,34636,2652
8600000US01843,01843,ZCTA5 01843,42707,4613
8600000US01844,01844,ZCTA5 01844,72664,4329
8600000US01845,01845,ZCTA5 01845,102008,5376
8600000US01850,01850,ZCTA5 01850,42437,6212
8600000US01851,01851,ZCTA5 01851,49583,3998
8600000US01852,01852,ZCTA5 01852,50348,3196
8600000US01854,01854,ZCTA5 01854,40229,5012
8600000US01860,01860,ZCTA5 01860,77481,18572
8600000US01862,01862,ZCTA5 01862,102330,13068
8600000US01863,01863,ZCTA5 01863,80538,9172
8600000US01864,01864,ZCTA5 01864,119933,10809
8600000US01867,01867,ZCTA5 01867,110043,5974
8600000US01876,01876,ZCTA5 01876,93016,4257
8600000US01879,01879,ZCTA5 01879,99325,18434
8600000US01880,01880,ZCTA5 01880,92474,5496
8600000US01886,01886,ZCTA5 01886,130739,10983
8600000US01887,01887,ZCTA5 01887,102301,6192
8600000US01890,01890,ZCTA5 01890,149321,13377
8600000US01901,01901,ZCTA5 01901,21905,3858
8600000US01902,01902,ZCTA5 01902,39654,2689
8600000US01904,01904,ZCTA5 01904,86477,4080
8600000US01905,01905,ZCTA5 01905,55185,4728
8600000US01906,01906,ZCTA5 01906,78372,5171
8600000US01907,01907,ZCTA5 01907,103064,5782
8600000US01908,01908,ZCTA5 01908,72625,11472
8600000US01913,01913,ZCTA5 01913,75861,4373
8600000US01915,01915,ZCTA5 01915,73839,3871
8600000US01921,01921,ZCTA5 01921,153578,30387
8600000US01922,01922,ZCTA5 01922,86806,50542
8600000US01923,01923,ZCTA5 01923,79913,5003
8600000US01929,01929,ZCTA5 01929,103750,14701
8600000US01930,01930,ZCTA5 01930,63917,4457
8600000US01937,01937,ZCTA5 01937,-,**
8600000US01938,01938,ZCTA5 01938,77788,6831
8600000US01940,01940,ZCTA5 01940,112151,6463
8600000US01944,01944,ZCTA5 01944,92604,17425
8600000US01945,01945,ZCTA5 01945,103148,8031
8600000US01949,01949,ZCTA5 01949,106326,11439
8600000US01950,01950,ZCTA5 01950,87162,5881
8600000US01951,01951,ZCTA5 01951,93040,14243
8600000US01952,01952,ZCTA5 01952,65903,11501
8600000US01960,01960,ZCTA5 01960,63822,3111
8600000US01966,01966,ZCTA5 01966,68448,6940
8600000US01969,01969,ZCTA5 01969,85496,6992
8600000US01970,01970,ZCTA5 01970,61035,3076
8600000US01982,01982,ZCTA5 01982,114907,15957
8600000US01983,01983,ZCTA5 01983,128283,12557
8600000US01984,01984,ZCTA5 01984,99375,17329
8600000US01985,01985,ZCTA5 01985,138947,17985
8600000US02019,02019,ZCTA5 02019,90630,5857
8600000US02021,02021,ZCTA5 02021,93672,6439
8600000US02025,02025,ZCTA5 02025,128224,19662
8600000US02026,02026,ZCTA5 02026,87108,5019
8600000US02030,02030,ZCTA5 02030,189265,21304
8600000US02032,02032,ZCTA5 02032,100658,17873
8600000US02035,02035,ZCTA5 02035,95665,4635
8600000US02038,02038,ZCTA5 02038,108815,6951
8600000US02043,02043,ZCTA5 02043,118148,13567
8600000US02045,02045,ZCTA5 02045,78114,7514
8600000US02047,02047,ZCTA5 02047,-,**
8600000US02048,02048,ZCTA5 02048,102090,5223
8600000US02050,02050,ZCTA5 02050,84747,9285
