zipcode,median_income
ZCTA5 01772,147216
ZCTA5 01773,143505
ZCTA5 01775,146799
ZCTA5 01776,164013
ZCTA5 01778,157005
ZCTA5 01801,84479
ZCTA5 01803,92141
ZCTA5 01810,134627
ZCTA5 01821,100158
ZCTA5 01824,109638
ZCTA5 01826,86884
ZCTA5 01827,118984
ZCTA5 01830,57917
ZCTA5 01832,63078
ZCTA5 01833,106016
ZCTA5 01834,96512
ZCTA5 01835,71827
ZCTA5 01840,19855
ZCTA5 01841,34636
ZCTA5 01843,42707
ZCTA5 01844,72664
ZCTA5 01845,102008
ZCTA5 01850,42437
ZCTA5 01851,49583
ZCTA5 01852,50348
ZCTA5 01854,40229
ZCTA5 01860,77481
ZCTA5 01862,102330
ZCTA5 01863,80538
ZCTA5 01864,119933
ZCTA5 01867,110043
ZCTA5 01876,93016
ZCTA5 01879,99325
ZCTA5 01880,92474
ZCTA5 01886,130739
ZCTA5 01887,102301
ZCTA5 01890,149321
ZCTA5 01901,21905
ZCTA5 01902,39654
ZCTA5 01904,86477
ZCTA5 01905,55185
ZCTA5 01906,78372
ZCTA5 01907,103064
ZCTA5 01908,72625
ZCTA5 01913,75861
ZCTA5 01915,73839
ZCTA5 01921,153578
ZCTA5 01922,86806
ZCTA5 01923,79913
ZCTA5 01929,103750
ZCTA5 01930,63917
ZCTA5 01937,0
ZCTA5 01938,77788
ZCTA5 01940,112151
ZCTA5 01944,92604
ZCTA5 01945,103148
ZCTA5 01949,106326
ZCTA5 01950,87162
ZCTA5 01951,93040
ZCTA5 01952,65903
ZCTA5 01960,63822
ZCTA5 01966,68448
ZCTA5 01969,85496
ZCTA5 01970,61035
ZCTA5 01982,114907
ZCTA5 01983,128283
ZCTA5 01984,99375
ZCTA5 01985,138947
ZCTA5 02019,90630
ZCTA5 02021,93672
ZCTA5 02025,128224
ZCTA5 02026,87108
ZCTA5 02030,189265
ZCTA5 02032,100658
ZCTA5 02035,95665
ZCTA5 02038,108815
ZCTA5 02043,118148
ZCTA5 02045,78114
ZCTA5 02047,0
ZCTA5 02048,102090
ZCTA5 02050,84747
ZCTA5 02052,147630
ZCTA5 02053,109865
ZCTA5 02054,97591
ZCTA5 02056,138452
ZCTA5 02061,114560
ZCTA5 02062,83883
ZCTA5 02066,110492
ZCTA5 02067,129609
ZCTA5 02071,105865
ZCTA5 02072,75109
ZCTA5 02081,95592
ZCTA5 02090,140355
ZCTA5 02093,99924
ZCTA5 02108,115042
ZCTA5 02109,117344
ZCTA5 02110,120800
ZCTA5 02111,39670
ZCTA5 02113,86094
ZCTA5 02114,86863
ZCTA5 02115,35274
ZCTA5 02116,100674
ZCTA5 02118,59589
ZCTA5 02119,30278
ZCTA5 02120,29592
ZCTA5 02121,26313
ZCTA5 02122,53103
ZCTA5 02124,50044
ZCTA5 02125,49683
ZCTA5 02126,47902
ZCTA5 02127,85336
ZCTA5 02128,52152
ZCTA5 02129,90674
ZCTA5 02130,79419
ZCTA5 02131,68655
ZCTA5 02132,91273
ZCTA5 02134,47485
ZCTA5 02135,57330
ZCTA5 02136,62114
ZCTA5 02138,84305
ZCTA5 02139,82953
ZCTA5 02140,85417
ZCTA5 02141,73322
ZCTA5 02142,113950
ZCTA5 02143,80961
ZCTA5 02144,93234
ZCTA5 02145,62752
ZCTA5 02148,60045
ZCTA5 02149,52427
ZCTA5 02150,49643
ZCTA5 02151,51468
ZCTA5 02152,62997
ZCTA5 02155,79572
ZCTA5 02163,51500
ZCTA5 02169,62157
ZCTA5 02170,71065
ZCTA5 02171,73280
ZCTA5 02176,87712
ZCTA5 02180,83783
ZCTA5 02184,85863
ZCTA5 02186,122516
ZCTA5 02188,75129
ZCTA5 02189,51653
ZCTA5 02190,80139
ZCTA5 02191,70731
ZCTA5 02199,99250
ZCTA5 02203,0
ZCTA5 02210,155313
ZCTA5 02215,40115
ZCTA5 02301,44873
ZCTA5 02302,61527
ZCTA5 02322,68021
ZCTA5 02324,85992
ZCTA5 02330,75260
ZCTA5 02332,119428
ZCTA5 02333,82823
ZCTA5 02338,73119
ZCTA5 02339,105635
ZCTA5 02341,93517
ZCTA5 02343,66815
ZCTA5 02346,76968
ZCTA5 02347,93676
ZCTA5 02351,76989
ZCTA5 02356,109024
ZCTA5 02357,0
ZCTA5 02359,93075
ZCTA5 02360,80905
ZCTA5 02364,88694
ZCTA5 02366,0
ZCTA5 02367,84602
ZCTA5 02368,65473
ZCTA5 02370,70750
ZCTA5 02375,90313
ZCTA5 02379,80709
ZCTA5 02382,75898
ZCTA5 02420,156042
ZCTA5 02421,149414
ZCTA5 02445,102539
ZCTA5 02446,93750
ZCTA5 02451,91359
ZCTA5 02452,83283
ZCTA5 02453,75550
ZCTA5 02457,0
ZCTA5 02458,100768
ZCTA5 02459,150282
ZCTA5 02460,121250
ZCTA5 02461,156000
ZCTA5 02462,106324
ZCTA5 02464,95750
ZCTA5 02465,133958
ZCTA5 02466,107717
ZCTA5 02467,108413
ZCTA5 02468,190139
ZCTA5 02472,91991
ZCTA5 02474,100157
ZCTA5 02476,96442
ZCTA5 02478,114082
ZCTA5 02481,179655
ZCTA5 02482,158468
ZCTA5 02492,144898
ZCTA5 02493,191744
ZCTA5 02494,125481
ZCTA5 02532,70574
ZCTA5 02534,85234
ZCTA5 02535,71667
ZCTA5 02536,67471
ZCTA5 02537,95465
ZCTA5 02538,65273
ZCTA5 02539,70556
ZCTA5 02540,64509
ZCTA5 02542,44405
ZCTA5 02543,71250
ZCTA5 02553,38947
ZCTA5 02554,90469
ZCTA5 02556,80821
ZCTA5 02557,57773
ZCTA5 02558,46194
ZCTA5 02559,75505
ZCTA5 02561,80938
ZCTA5 02562,71042
ZCTA5 02563,82041
ZCTA5 02564,59750
ZCTA5 02568,46816
ZCTA5 02571,58927
