,city,density,population,state,zipcode
242,NEW YORK,101799,62810,NY,10009
627,NEW YORK,79281,52167,NY,10011
674,NEW YORK,96233,51196,NY,10016
286,NEW YORK,124878,61315,NY,10023
347,NEW YORK,68956,59164,NY,10024
15,NEW YORK,129508,97390,NY,10025
250,NEW YORK,71891,62617,NY,10027
79,NEW YORK,93884,77454,NY,10029
352,NEW YORK,90771,59092,NY,10031
341,NEW YORK,90371,59374,NY,10032
363,NEW YORK,97041,58710,NY,10033
322,NEW YORK,127645,60121,NY,10128
451,STATEN ISLAND,7481,55902,NY,10306
323,STATEN ISLAND,7824,60081,NY,10312
37,STATEN ISLAND,6364,87276,NY,10314
918,BRONX,46373,47069,NY,10451
96,BRONX,76072,74931,NY,10452
69,BRONX,87110,79793,NY,10453
35,BRONX,86172,87723,NY,10456
148,BRONX,66241,70282,NY,10457
97,BRONX,74191,74859,NY,10458
854,BRONX,58723,47977,NY,10459
445,BRONX,42649,56084,NY,10460
651,BRONX,21554,51730,NY,10461
81,BRONX,52276,77369,NY,10462
147,BRONX,48700,70420,NY,10463
145,BRONX,34990,70609,NY,10466
11,BRONX,42384,98754,NY,10467
127,BRONX,66811,71822,NY,10468
125,BRONX,29004,71843,NY,10469
163,BRONX,65555,68898,NY,10472
365,BRONX,26908,58660,NY,10473
291,YONKERS,14481,61167,NY,10701
866,MIDDLETOWN,737,47833,NY,10940
881,MONROE,1308,47611,NY,10950
316,SPRING VALLEY,5431,60293,NY,10977
502,BROOKLYN,38471,54668,NY,11201
71,BROOKLYN,37079,79572,NY,11203
67,BROOKLYN,50952,80963,NY,11204
64,BROOKLYN,56851,81525,NY,11206
26,BROOKLYN,34628,92491,NY,11207
23,BROOKLYN,26941,93107,NY,11208
118,BROOKLYN,33591,72623,NY,11209
210,BROOKLYN,39794,65302,NY,11210
22,BROOKLYN,40588,93271,NY,11211
46,BROOKLYN,54954,84520,NY,11212
264,BROOKLYN,56883,62059,NY,11213
53,BROOKLYN,38058,83156,NY,11214
164,BROOKLYN,31630,68891,NY,11215
548,BROOKLYN,57522,53783,NY,11216
99,BROOKLYN,52352,74758,NY,11218
17,BROOKLYN,65433,96971,NY,11219
4,BROOKLYN,57559,103089,NY,11220
65,BROOKLYN,58800,81321,NY,11221
104,BROOKLYN,35972,74606,NY,11223
345,BROOKLYN,66948,59182,NY,11225
13,BROOKLYN,76280,98325,NY,11226
66,BROOKLYN,37393,81030,NY,11229
47,BROOKLYN,45771,84219,NY,11230
170,BROOKLYN,50889,68599,NY,11233
20,BROOKLYN,12490,94259,NY,11234
103,BROOKLYN,33228,74630,NY,11235
16,BROOKLYN,27042,97217,NY,11236
473,BROOKLYN,56610,55478,NY,11237
642,BROOKLYN,46921,51895,NY,11238
434,FLUSHING,25961,56258,NY,11354
52,FLUSHING,47966,83221,NY,11355
2,CORONA,41019,107962,NY,11368
236,JACKSON HEIGHTS,85916,63320,NY,11372
10,ELMHURST,64937,99159,NY,11373
157,FOREST HILLS,35231,69757,NY,11375
40,WOODSIDE,33889,86316,NY,11377
8,RIDGEWOOD,27506,99379,NY,11385
788,SOUTH RICHMOND HILL,43572,49193,NY,11419
824,SOUTH OZONE PARK,23315,48449,NY,11420
276,JAMAICA,28705,61687,NY,11432
243,JAMAICA,19391,62809,NY,11434
561,JAMAICA,35341,53542,NY,11435
419,HEMPSTEAD,13327,56773,NY,11550
