,city,density,population,state,zipcode
221,DENVER,8593,64506,CO,80219
681,DENVER,3884,51123,CO,80229
811,LONGMONT,491,48679,CO,80504
838,FORT COLLINS,1989,48207,CO,80525
773,GREELEY,481,49501,CO,80631
503,GREELEY,1466,54656,CO,80634
912,COLORADO SPRINGS,3939,47189,CO,80918
618,TWIN FALLS,186,52396,ID,83301
721,MERIDIAN,1827,50342,ID,83646
915,NAMPA,530,47091,ID,83686
630,BOISE,1499,52110,ID,83709
257,CLEARFIELD,2959,62387,UT,84015
655,LEHI,1655,51511,UT,84043
540,SOUTH JORDAN,2384,53995,UT,84095
189,SALT LAKE CITY,3913,67019,UT,84118
492,WEST VALLEY CITY,4551,54882,UT,84119
791,WEST VALLEY CITY,4827,49107,UT,84120
420,OGDEN,609,56743,UT,84404
892,PROVO,379,47491,UT,84604
585,PHOENIX,5060,52966,AZ,85008
756,PHOENIX,3190,49710,AZ,85009
896,PHOENIX,5070,47433,AZ,85022
152,PHOENIX,5636,70008,AZ,85032
448,PHOENIX,9188,56009,AZ,85033
666,PHOENIX,8985,51329,AZ,85035
986,PHOENIX,5645,46208,AZ,85037
402,PHOENIX,3612,57329,AZ,85041
629,CASA GRANDE,1042,52136,AZ,85122
677,QUEEN CREEK,721,51190,AZ,85142
874,MESA,5120,47737,AZ,85201
300,MESA,6140,60819,AZ,85204
987,MESA,1547,46201,AZ,85207
126,CHANDLER,5620,71828,AZ,85225
658,GILBERT,4322,51459,AZ,85234
466,TEMPE,4161,55548,AZ,85281
682,TEMPE,4571,51080,AZ,85282
971,TEMPE,5282,46373,AZ,85283
284,GLENDALE,6621,61387,AZ,85301
220,GLENDALE,3719,64515,AZ,85308
631,BUCKEYE,141,52101,AZ,85326
378,PEORIA,4457,58170,AZ,85345
114,YUMA,1854,73129,AZ,85364
856,YUMA,35,47933,AZ,85365
906,SURPRISE,2907,47274,AZ,85374
518,TUCSON,4004,54433,AZ,85705
408,TUCSON,4549,56989,AZ,85706
480,TUCSON,4581,55323,AZ,85710
755,TUCSON,2098,49712,AZ,85713
387,ALBUQUERQUE,617,57937,NM,87105
395,ALBUQUERQUE,2655,57554,NM,87111
217,ALBUQUERQUE,3048,64917,NM,87114
312,ALBUQUERQUE,1574,60487,NM,87120
91,ALBUQUERQUE,295,75581,NM,87121
636,RIO RANCHO,739,52049,NM,87124
962,SANTA FE,561,46430,NM,87507
999,CLOVIS,87,46046,NM,88101
827,NORTH LAS VEGAS,5173,48407,NV,89030
256,NORTH LAS VEGAS,6567,62455,NV,89031
726,HENDERSON,968,50246,NV,89052
863,HENDERSON,5333,47870,NV,89074
765,LAS VEGAS,7399,49537,NV,89103
161,LAS VEGAS,7675,68972,NV,89108
138,LAS VEGAS,6402,71150,NV,89110
358,LAS VEGAS,2354,58870,NV,89115
505,LAS VEGAS,5991,54646,NV,89117
267,LAS VEGAS,6731,61911,NV,89121
984,LAS VEGAS,5094,46236,NV,89122
354,LAS VEGAS,5535,58991,NV,89123
628,LAS VEGAS,5211,52145,NV,89129
661,LAS VEGAS,6926,51419,NV,89147
497,LOS ANGELES,15637,54760,CA,90001
776,LOS ANGELES,16158,49475,CA,90002
196,LOS ANGELES,18643,66200,CA,90003
245,LOS ANGELES,20591,62760,CA,90004
334,LOS ANGELES,30989,59498,CA,90006
6,LOS ANGELES,23538,100882,CA,90011
907,LOS ANGELES,13034,47273,CA,90016
820,LOS ANGELES,16747,48498,CA,90018
208,LOS ANGELES,16823,65408,CA,90019
150,LOS ANGELES,16012,70147,CA,90022
691,LOS ANGELES,17346,50964,CA,90024
167,LOS ANGELES,16267,68726,CA,90026
872,LOS ANGELES,10024,47784,CA,90032
793,LOS ANGELES,15013,49049,CA,90033
364,LOS ANGELES,18857,58703,CA,90034
270,LOS ANGELES,21792,61845,CA,90037
306,LOS ANGELES,13054,60623,CA,90042
36,LOS ANGELES,17051,87590,CA,90044
712,LOS ANGELES,8737,50499,CA,90046
889,LOS ANGELES,10049,47533,CA,90047
532,LOS ANGELES,16548,54160,CA,90063
353,LOS ANGELES,11993,59031,CA,90066
5,BELL GARDENS,17172,101932,CA,90201
749,COMPTON,7208,49810,CA,90220
614,COMPTON,9836,52446,CA,90221
900,GARDENA,12616,47361,CA,90247
21,HAWTHORNE,14039,93994,CA,90250
85,HUNTINGTON PARK,20608,76620,CA,90255
151,LYNWOOD,14512,70137,CA,90262
19,SOUTH GATE,13005,95000,CA,90280
933,TORRANCE,8831,46780,CA,90503
817,CYPRESS,7933,48590,CA,90630
182,LA HABRA,4895,68065,CA,90631
787,LA MIRADA,6244,49222,CA,90638
240,MONTEBELLO,7422,63016,CA,90640
3,NORWALK,10801,105940,CA,90650
237,PICO RIVERA,8169,63310,CA,90660
768,CERRITOS,5641,49526,CA,90703
84,BELLFLOWER,12605,76989,CA,90706
516,PARAMOUNT,11626,54468,CA,90723
283,SAN PEDRO,6685,61432,CA,90731
401,WILMINGTON,6880,57358,CA,90744
379,CARSON,7007,58162,CA,90745
24,LONG BEACH,12619,92991,CA,90805
346,LONG BEACH,18441,59178,CA,90813
577,CANOGA PARK,5655,53194,CA,91304
862,WINNETKA,11571,47879,CA,91306
7,PACOIMA,11356,100535,CA,91331
86,RESEDA,11670,76616,CA,91335
34,SYLMAR,1628,89686,CA,91342
259,NORTH HILLS,10543,62321,CA,91343
591,GRANADA HILLS,3222,52892,CA,91344
975,SUN VALLEY,3971,46334,CA,91352
133,PANORAMA CITY,19181,71486,CA,91402
517,VAN NUYS,16451,54435,CA,91405
602,VAN NUYS,6478,52682,CA,91406
454,NORTH HOLLYWOOD,10211,55793,CA,91605
324,AZUSA,354,60036,CA,91702
83,BALDWIN PARK,5745,77192,CA,91706
92,CHINO HILLS,2211,75551,CA,91709
63,CHINO,3794,81596,CA,91710
193,RANCHO CUCAMONGA,4585,66362,CA,91730
254,EL MONTE,13553,62548,CA,91732
44,LA PUENTE,9633,84674,CA,91744
455,HACIENDA HEIGHTS,4355,55776,CA,91745
924,ROWLAND HEIGHTS,3246,46966,CA,91748
357,ONTARIO,2020,58919,CA,91761
449,ONTARIO,4109,55982,CA,91762
555,ONTARIO,6706,53688,CA,91764
908,DIAMOND BAR,2499,47273,CA,91765
132,POMONA,7037,71541,CA,91766
803,POMONA,8676,48768,CA,91767
255,ROSEMEAD,9729,62489,CA,91770
665,UPLAND,5739,51381,CA,91786
967,WEST COVINA,8040,46404,CA,91790
531,ALHAMBRA,12431,54176,CA,91801
82,CHULA VISTA,6321,77320,CA,91910
60,CHULA VISTA,6990,81872,CA,91911
303,NATIONAL CITY,7999,60784,CA,91950
309,SPRING VALLEY,6264,60542,CA,91977
393,EL CAJON,5186,57747,CA,92020
214,EL CAJON,2185,65175,CA,92021
794,ENCINITAS,2906,49048,CA,92024
790,ESCONDIDO,2229,49110,CA,92025
766,ESCONDIDO,1331,49537,CA,92026
475,ESCONDIDO,879,55461,CA,92027
904,FALLBROOK,501,47282,CA,92028
626,OCEANSIDE,4204,52182,CA,92056
490,OCEANSIDE,3639,54901,CA,92057
814,POWAY,1187,48622,CA,92064
953,SAN MARCOS,2826,46492,CA,92069
515,SANTEE,3125,54469,CA,92071
932,VISTA,1789,46811,CA,92084
172,SAN DIEGO,12292,68469,CA,92105
909,SAN DIEGO,5588,47271,CA,92111
380,SAN DIEGO,11038,58158,CA,92113
180,SAN DIEGO,8274,68160,CA,92114
296,SAN DIEGO,9392,61084,CA,92115
604,SAN DIEGO,5992,52648,CA,92117
78,SAN DIEGO,6145,77860,CA,92126
782,SAN DIEGO,4418,49332,CA,92128
571,SAN DIEGO,3794,53387,CA,92129
808,SAN DIEGO,2643,48721,CA,92130
48,SAN DIEGO,2274,84060,CA,92154
253,INDIO,2761,62551,CA,92201
638,CATHEDRAL CITY,3301,51927,CA,92234
840,EL CENTRO,437,48190,CA,92243
403,COLTON,1943,57326,CA,92324
12,FONTANA,5682,98460,CA,92335
31,FONTANA,3644,90633,CA,92336
68,HESPERIA,984,80683,CA,92345
396,HIGHLAND,2263,57499,CA,92346
43,RIALTO,6266,84699,CA,92376
511,VICTORVILLE,1462,54557,CA,92392
572,YUCAIPA,1006,53370,CA,92399
266,SAN BERNARDINO,2167,61918,CA,92404
374,SAN BERNARDINO,927,58275,CA,92407
911,SAN BERNARDINO,5741,47192,CA,92410
28,RIVERSIDE,3046,90989,CA,92503
526,RIVERSIDE,2317,54221,CA,92504
778,RIVERSIDE,4044,49435,CA,92505
533,RIVERSIDE,2680,54152,CA,92507
77,RIVERSIDE,2512,78117,CA,92509
730,LAKE ELSINORE,931,50141,CA,92530
95,MORENO VALLEY,7405,75024,CA,92553
676,MORENO VALLEY,2723,51196,CA,92557
263,MURRIETA,567,62070,CA,92562
435,MURRIETA,2766,56252,CA,92563
537,PERRIS,556,54115,CA,92570
545,PERRIS,2386,53820,CA,92571
116,TEMECULA,748,72760,CA,92592
640,COSTA MESA,5394,51904,CA,92626
336,COSTA MESA,9370,59488,CA,92627
339,LAKE FOREST,6237,59401,CA,92630
484,HUNTINGTON BEACH,6859,55184,CA,92646
386,HUNTINGTON BEACH,7495,58081,CA,92647
695,ALISO VIEJO,6176,50820,CA,92656
232,LAGUNA NIGUEL,3821,63797,CA,92677
30,WESTMINSTER,9065,90640,CA,92683
905,MISSION VIEJO,5370,47275,CA,92691
806,MISSION VIEJO,4947,48739,CA,92692
536,SANTA ANA,16550,54117,CA,92701
154,SANTA ANA,17141,69952,CA,92703
38,SANTA ANA,11794,87208,CA,92704
317,SANTA ANA,11990,60288,CA,92707
425,FOUNTAIN VALLEY,6237,56510,CA,92708
362,TUSTIN,8403,58755,CA,92780
241,ANAHEIM,9997,62859,CA,92801
45,ANAHEIM,12084,84648,CA,92804
131,ANAHEIM,11353,71568,CA,92805
624,FULLERTON,7150,52232,CA,92833
469,GARDEN GROVE,10671,55513,CA,92840
598,PLACENTIA,7773,52794,CA,92870
832,CORONA,4811,48327,CA,92879
194,CORONA,2688,66353,CA,92880
165,CORONA,2675,68885,CA,92882
871,YORBA LINDA,3245,47786,CA,92886
715,VENTURA,2451,50446,CA,93003
338,OXNARD,4286,59435,CA,93030
62,OXNARD,2784,81644,CA,93033
452,SIMI VALLEY,1695,55846,CA,93063
124,SIMI VALLEY,2272,71899,CA,93065
525,GOLETA,319,54251,CA,93117
442,DELANO,396,56141,CA,93215
203,HANFORD,252,65927,CA,93230
88,PORTERVILLE,172,76470,CA,93257
140,TULARE,331,70820,CA,93274
653,VISALIA,1291,51604,CA,93277
552,VISALIA,635,53742,CA,93291
615,BAKERSFIELD,6902,52421,CA,93304
187,BAKERSFIELD,764,67322,CA,93306
57,BAKERSFIELD,594,82472,CA,93307
556,BAKERSFIELD,170,53639,CA,93308
335,BAKERSFIELD,5588,59489,CA,93309
467,BAKERSFIELD,3650,55539,CA,93312
519,LOMPOC,249,54433,CA,93436
460,SANTA MARIA,2033,55651,CA,93458
111,LANCASTER,285,73606,CA,93535
153,LANCASTER,288,69988,CA,93536
105,PALMDALE,380,74561,CA,93550
724,PALMDALE,688,50306,CA,93551
886,CLOVIS,4248,47559,CA,93611
799,MADERA,515,48805,CA,93638
841,FRESNO,9153,48181,CA,93702
978,FRESNO,4650,46300,CA,93720
70,FRESNO,4070,79727,CA,93722
141,FRESNO,2177,70774,CA,93727
299,SALINAS,6544,60905,CA,93905
262,SALINAS,4748,62073,CA,93906
869,DALY CITY,7582,47818,CA,94014
278,DALY CITY,10691,61591,CA,94015
213,SOUTH SAN FRANCISCO,6343,65200,CA,94080
521,SUNNYVALE,8258,54362,CA,94087
468,SAN FRANCISCO,46733,55519,CA,94109
121,SAN FRANCISCO,31023,72128,CA,94110
55,SAN FRANCISCO,24592,82726,CA,94112
400,SAN FRANCISCO,24268,57369,CA,94122
974,PALO ALTO,5822,46357,CA,94303
277,ALAMEDA,7773,61639,CA,94501
248,ANTIOCH,3813,62651,CA,94509
471,BRENTWOOD,733,55488,CA,94513
160,FAIRFIELD,3197,69067,CA,94533
155,FREMONT,4795,69921,CA,94536
274,FREMONT,3753,61784,CA,94538
656,FREMONT,2026,51494,CA,94539
287,HAYWARD,8252,61311,CA,94541
87,HAYWARD,6986,76542,CA,94544
878,LIVERMORE,205,47648,CA,94550
850,MARTINEZ,981,48018,CA,94553
190,NAPA,188,66824,CA,94558
41,PITTSBURG,2855,86204,CA,94565
899,DUBLIN,3100,47384,CA,94568
144,UNION CITY,3585,70687,CA,94587
560,VALLEJO,2482,53548,CA,94591
784,OAKLAND,15177,49279,CA,94601
331,SAN PABLO,7167,59720,CA,94806
279,CUPERTINO,2284,61521,CA,95014
375,GILROY,374,58246,CA,95020
736,HOLLISTER,121,50067,CA,95023
179,MILPITAS,2933,68178,CA,95035
996,MORGAN HILL,189,46100,CA,95037
580,SANTA CLARA,7983,53152,CA,95051
939,SANTA CRUZ,688,46688,CA,95060
54,WATSONVILLE,607,82930,CA,95076
333,SAN JOSE,11035,59521,CA,95111
472,SAN JOSE,7822,55481,CA,95112
689,SAN JOSE,14249,51010,CA,95116
476,SAN JOSE,11625,55438,CA,95122
233,SAN JOSE,7649,63621,CA,95123
894,SAN JOSE,7222,47446,CA,95124
528,SAN JOSE,6771,54200,CA,95125
212,SAN JOSE,5015,65258,CA,95127
200,STOCKTON,456,66092,CA,95206
861,STOCKTON,6599,47883,CA,95207
956,LODI,562,46482,CA,95240
725,MODESTO,5661,50260,CA,95350
888,MODESTO,5359,47534,CA,95351
349,MODESTO,6229,59111,CA,95355
777,TRACY,6476,49442,CA,95376
319,CARMICHAEL,4620,60255,CA,95608
851,DAVIS,1742,47995,CA,95616
258,ELK GROVE,1417,62335,CA,95624
120,FOLSOM,2627,72462,CA,95630
836,LINCOLN,341,48243,CA,95648
575,RANCHO CORDOVA,4242,53259,CA,95670
197,VACAVILLE,1519,66129,CA,95687
567,ROSEVILLE,1147,53452,CA,95747
292,ELK GROVE,4768,61155,CA,95758
107,SACRAMENTO,6282,74154,CA,95823
297,SACRAMENTO,4953,60993,CA,95828
934,ANTELOPE,7254,46775,CA,95843
211,EWA BEACH,3809,65260,HI,96706
914,HILO,157,47109,HI,96720
583,KAILUA,2442,53068,HI,96734
546,KANEOHE,1561,53818,HI,96744
498,MILILANI,2006,54731,HI,96789
931,WAIANAE,768,46812,HI,96792
100,WAIPAHU,2173,74752,HI,96797
672,HONOLULU,5175,51209,HI,96816
453,HONOLULU,6011,55812,HI,96817
654,HONOLULU,4475,51522,HI,96818
617,HONOLULU,2395,52416,HI,96819
207,BEAVERTON,5573,65482,OR,97006
159,BEAVERTON,2595,69469,OR,97007
686,OREGON CITY,591,51040,OR,97045
828,HILLSBORO,1124,48406,OR,97124
830,PORTLAND,7412,48384,OR,97206
949,PORTLAND,4034,46574,OR,97223
326,PORTLAND,2917,59983,OR,97229
477,SALEM,4787,55437,OR,97301
688,EUGENE,739,51025,OR,97402
367,BEND,86,58602,OR,97701
620,BOTHELL,3417,52351,WA,98012
796,FEDERAL WAY,4745,48964,WA,98023
327,REDMOND,2977,59822,WA,98052
920,SEATTLE,10144,47019,WA,98103
880,SEATTLE,7231,47611,WA,98115
966,SEATTLE,6540,46405,WA,98133
601,EVERETT,3255,52683,WA,98208
983,BELLINGHAM,3684,46251,WA,98225
995,MARYSVILLE,3222,46105,WA,98270
800,LONGVIEW,378,48786,WA,98632
456,VANCOUVER,1849,55759,WA,98682
964,YAKIMA,5143,46412,WA,98902
719,SPOKANE,1025,50372,WA,99208
134,PASCO,154,71473,WA,99301
805,KENNEWICK,3652,48749,WA,99336
566,WASILLA,107,53456,AK,99654
